Word,Count
mr,2
speaker,1
president,8
and,193
distinguished,1
members,1
of,136
the,276
house,3
senate,2
honored,1
guests,1
fellow,1
citizens,2
less,5
than,6
3,3
weeks,2
ago,7
i,75
joined,1
you,21
on,37
west,1
front,1
this,42
very,7
building,3
looking,1
over,6
monuments,1
to,184
our,66
proud,1
past,3
offered,1
my,23
hand,5
in,93
filling,1
next,3
page,1
american,7
history,3
with,26
a,84
story,1
extended,2
prosperity,2
continued,2
peace,6
tonight,21
im,9
back,5
offer,2
plans,1
as,15
well,3
remains,1
sleeves,1
are,20
rolled,1
up,10
america,24
is,40
waiting,3
now,10
we,92
must,49
produce,3
together,3
can,11
build,3
better,9
it,21
comforting,1
return,2
historic,1
chamber,3
here,4
22,2
years,9
first,4
raised,2
be,46
sworn,1
into,3
public,1
life,4
so,15
feel,2
if,10
returning,1
home,3
friends,6
intend,2
months,1
come,4
give,8
what,4
deserve,1
frankness,1
respect,2
best,7
judgment,2
about,11
ways,1
improve,5
americas,8
future,15
ask,13
for,64
an,9
honest,2
commitment,1
common,2
mission,3
progress,2
seize,1
opportunities,2
road,1
before,7
us,18
therell,1
praise,1
enough,2
all,13
people,13
didnt,3
send,3
bicker,1
its,9
time,15
govern,1
many,7
presidents,2
have,21
times,1
great,7
crisis,3
war,5
depression,1
loss,1
national,9
spirit,2
8,2
sat,1
that,51
chair,2
reagan,1
spoke,1
punishing,1
inflation,3
devastatingly,1
high,2
interest,1
rates,2
out,6
work,12
—,16
confidence,1
wane,1
challenge,1
different,1
were,9
fortunate,2
much,3
changed,1
landscape,1
lies,1
dont,4
propose,8
reverse,1
direction,1
headed,1
right,3
way,3
but,31
cannot,7
rest,2
whose,2
energy,4
drive,1
fueled,1
rise,3
greatness,2
forwardlooking,1
nation,11
generous,1
yes,4
ambitious,1
not,28
ourselves,3
world,8
complacency,1
character,1
ever,3
take,6
strong,5
make,15
even,2
address,5
some,13
real,3
problems,5
establish,1
clear,6
priorities,5
substantial,1
cut,6
federal,4
budget,17
deficit,5
find,3
agenda,1
impossible,1
presenting,1
realistic,2
plan,9
tackling,1
has,12
four,1
broad,1
features,1
attention,2
urgent,2
investment,3
attack,2
no,8
new,22
taxes,4
represents,1
how,1
there,8
areas,1
which,17
would,4
like,7
spend,1
more,11
understand,3
until,1
get,5
fiscal,2
order,1
year,9
alone,2
thanks,2
economic,8
growth,8
without,5
any,5
change,3
law,5
government,6
will,45
80,2
billion,7
does,1
thats,6
revenues,2
increases,2
job,3
allocate,1
those,20
resources,2
wisely,1
afford,1
increase,8
spending,4
by,22
modest,1
amount,1
invest,2
key,1
still,2
almost,5
40,1
percent,1
1,2
allow,3
meet,5
targets,3
set,2
forth,1
grammrudmanhollings,2
do,6
recognize,1
above,3
programs,2
preordained,1
initiatives,2
designed,1
immortal,1
pledge,1
team,1
ready,2
congress,10
form,2
special,4
leadership,3
group,1
negotiate,2
good,1
faith,2
day,3
night,2
takes,1
settle,1
business,3
usual,1
continuing,2
resolution,1
or,8
approve,1
several,2
measures,2
budgeting,2
sensible,1
could,4
save,1
efficiency,1
enacting,1
2year,2
budgets,1
fortythree,1
governors,1
lineitem,1
veto,1
should,16
too,6
at,15
least,1
when,8
proposes,1
rescind,1
required,2
vote,2
proposal,1
instead,1
killing,1
inaction,1
honor,3
publics,1
wishes,1
passing,1
constitutional,1
amendment,2
require,1
balanced,1
such,5
once,2
phased,1
discipline,1
both,1
executive,2
branch,2
principles,1
describe,1
kind,2
hope,10
your,19
help,11
ahead,1
luxury,1
taking,1
easy,3
spendthrift,1
approach,2
solving,1
because,9
higher,2
